station_id,station_name,city,state,lat,lon,timestamp,PM2.5,PM10,NO2,SO2,CO,O3,NH3,reported_aqi,reported_aqi_category,reported_dominant_pollutant,aqi_is_valid,aqi_quality_flag,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,cloud_cover,weather_trapping_score,weather_trapping_category,landuse_type_proxy,landuse_data_source,urban_pressure_score,road_density_proxy,environmental_risk_score,pm10_pm25_ratio,pm25_pm10_ratio,no2_co_ratio,o3_no2_ratio,source_score_vehicular_traffic,source_score_industrial_combustion,source_score_construction__road_dust,source_score_biomass__fine_particle_combustion,source_score_photochemical_smog,primary_pollution_source,primary_source_score,secondary_source_score,source_score_gap,source_attribution_confidence,source_attribution_confidence_category,source_evidence,landuse_source_alignment,recommended_intervention,notebook_03_processed_time,forecast_reference_timestamp,forecast_aqi_next,forecast_aqi_p10,forecast_aqi_p50,forecast_aqi_p90,forecast_category,current_aqi,current_aqi_category,forecast_aqi_category,forecast_aqi_change,forecast_trend,satellite_aerosol_proxy_score,satellite_aerosol_proxy_category,satellite_data_source,dispersion_index,dispersion_category,health_exposure_risk_score,health_exposure_risk_category,forecast_hotspot_risk_score,forecast_hotspot_risk_category,intervention_urgency_score,intervention_urgency_category,is_current_hotspot,is_forecast_hotspot,is_emerging_hotspot,hotspot_status,advanced_priority_score,advanced_priority_category,advanced_priority_rank,advanced_data_quality_flag,advanced_layer_note
uttar_pradesh__meerut__miet_college_meerut_uppcb,"MIET College, Meerut - UPPCB",Meerut,Uttar Pradesh,28.972677,77.641018,2026-07-16 05:00:00,262.0,158.0,33.0,7.0,44.0,7.0,8.0,462.64,Severe,CO,True,Valid AQI,33.6,62,0.0,9.0,4,64.51,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,52.02,0.6030534351145038,1.6582278481012658,0.75,0.2121212121212121,16.74,14.58,29.51,67.22,35.53,Biomass / fine-particle combustion,67.22,35.53,31.69,56.56,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,475.6348430220259,425.06111331227567,475.6348430220259,500.0,Severe,462.64,Severe,Severe,12.994843022025918,Stable,65.56,High,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,50.36,Moderate,88.17,Critical,78.09,High,73.06,High,1,1,0,Critical forecast hotspot,74.32,High,1,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
assam__guwahati__pan_bazaar_guwahati_pcba,"Pan Bazaar, Guwahati - PCBA",Guwahati,Assam,26.1875,91.744194,2026-07-16 05:00:00,186.0,173.0,0.0,35.0,23.0,11.0,1.0,350.88,Very Poor,PM2.5,True,Valid AQI,31.4,75,0.0,2.9,99,89.83,Very high trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,52.18,0.9301075268817204,1.0751445086705202,0.0,,4.27,16.81,28.81,58.57,24.34,Biomass / fine-particle combustion,58.57,28.81,29.76,49.93,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,,350.88,350.88,350.88,350.88,,350.88,Very Poor,Very Poor,0.0,Stable,60.25,High,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,94.26,Critical,76.07,High,69.65,High,74.62,High,1,1,0,Critical forecast hotspot,74.19,High,2,Forecast unavailable; current AQI used as fallback,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
uttar_pradesh__khora__prashant_garden_khora_uppcb,"Prashant Garden, Khora - UPPCB",Khora,Uttar Pradesh,28.61119,77.34206,2026-07-16 05:00:00,247.0,150.0,33.0,11.0,102.0,6.0,11.0,500.0,Severe,CO,True,Valid AQI,36.4,40,0.0,9.6,5,55.43,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,51.71,0.6072874493927125,1.6466666666666667,0.3235294117647059,0.1818181818181818,28.0,24.58,28.93,74.4,38.9,Biomass / fine-particle combustion,74.4,38.9,35.5,62.73,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,488.8216427820324,438.2479130722822,488.8216427820324,500.0,Severe,500.0,Severe,Severe,-11.178357217967571,Stable,68.2,High,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,38.45,Low,89.84,Critical,77.98,High,71.68,High,1,1,0,Critical forecast hotspot,73.22,High,3,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
uttar_pradesh__muzaffarnagar__new_mandi_muzaffarnagar_uppcb,"New Mandi, Muzaffarnagar - UPPCB",Muzaffarnagar,Uttar Pradesh,29.4723508,77.7194031,2026-07-16 05:00:00,125.0,148.0,31.0,24.0,44.0,16.0,3.0,462.64,Severe,CO,True,Valid AQI,33.4,66,0.0,5.2,14,73.85,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,55.92,1.184,0.8445945945945946,0.7045454545454546,0.5161290322580645,16.23,20.85,27.49,49.99,35.79,Biomass / fine-particle combustion,49.99,35.79,14.2,39.25,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,491.1634901528048,440.58976044305456,491.1634901528048,500.0,Severe,462.64,Severe,Severe,28.52349015280481,Increasing,49.64,Moderate,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,65.87,High,80.41,Critical,80.37,Critical,71.34,High,1,1,1,Critical forecast hotspot,72.69,High,4,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
uttar_pradesh__raebareli__anand_nagar_raebareli_uppcb,"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,26.219512,81.237648,2026-07-16 05:00:00,67.0,132.0,16.0,14.0,62.0,55.0,11.0,500.0,Severe,CO,True,Valid AQI,33.9,61,0.0,8.5,99,74.54,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,59.69,1.9701492537313432,0.5075757575757576,0.2580645161290322,3.4375,15.91,17.04,28.3,44.31,35.78,Biomass / fine-particle combustion,44.31,35.78,8.53,33.58,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,499.9994461780309,449.4257164682807,499.9994461780309,500.0,Severe,500.0,Severe,Severe,-0.0005538219691061,Stable,43.89,Moderate,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,70.82,High,77.77,High,80.89,Critical,70.54,High,1,1,0,Critical forecast hotspot,71.94,High,5,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
haryana__faridabad__sector_11_faridabad_hspcb,"Sector 11, Faridabad - HSPCB",Faridabad,Haryana,28.376058,77.315741,2026-07-16 05:00:00,196.0,180.0,31.0,9.0,67.0,16.0,9.0,500.0,Severe,CO,True,Valid AQI,35.6,44,0.0,12.4,14,52.73,Moderate trapping,Industrial / mixed urban proxy,Proxy from station/city naming,70,65,76.21,0.9183673469387756,1.0888888888888888,0.4626865671641791,0.5161290322580645,46.95,48.37,52.29,46.84,48.59,Construction / road dust,52.29,48.59,3.7,37.71,Low confidence,PM10-heavy particulate pattern; road dust / coarse-particle likelihood; high road-density proxy,Partially aligned,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",2026-07-16 10:55:13,2026-07-16 04:00:00,498.46304612959045,447.8893164198402,498.46304612959045,500.0,Severe,500.0,Severe,Severe,-1.5369538704095476,Stable,66.19,High,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,33.61,Low,89.57,Critical,77.89,High,70.2,High,1,1,0,Critical forecast hotspot,71.94,High,5,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
assam__byrnihat__central_academy_for_sfs_byrnihat_pcba,"Central Academy for SFS, Byrnihat - PCBA",Byrnihat,Assam,26.071318,91.87488,2026-07-16 05:00:00,79.0,75.0,7.0,31.0,50.0,21.0,4.0,500.0,Severe,CO,True,Valid AQI,32.0,73,0.0,4.0,64,83.6,Very high trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,63.47,0.9493670886075948,1.0533333333333332,0.14,3.0,11.29,20.38,18.75,50.5,29.16,Biomass / fine-particle combustion,50.5,29.16,21.34,41.75,Moderate confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,492.1253665145065,441.5516368047562,492.1253665145065,500.0,Severe,500.0,Severe,Severe,-7.8746334854935185,Stable,32.61,Low,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,83.01,Critical,78.33,High,79.49,High,70.47,High,1,1,0,Critical forecast hotspot,71.76,High,6,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
haryana__karnal__sector_12_karnal_hspcb,"Sector-12, Karnal - HSPCB",Karnal,Haryana,29.6953,77.0027,2026-07-16 05:00:00,165.0,131.0,15.0,13.0,49.0,8.0,8.0,493.77,Severe,CO,True,Valid AQI,33.8,60,0.0,9.1,17,64.89,High trapping,Industrial / mixed urban proxy,Proxy from station/city naming,35,30,63.6,0.793939393939394,1.2595419847328244,0.3061224489795918,0.5333333333333333,21.09,38.22,32.41,45.09,36.62,Biomass / fine-particle combustion,45.09,38.22,6.87,33.62,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Not strongly aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,499.2050731048237,448.6313433950735,499.2050731048237,500.0,Severe,493.77,Severe,Severe,5.4350731048237435,Stable,51.0,Moderate,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,51.78,Moderate,85.84,Critical,78.97,High,70.0,High,1,1,0,Critical forecast hotspot,71.69,High,7,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
gujarat__bhavnagar__vidhyanagar_bhavnagar_nexteng_enviro,"Vidhyanagar, Bhavnagar - Nexteng Enviro",Bhavnagar,Gujarat,21.755417,72.139056,2026-07-16 05:00:00,28.0,50.0,49.0,7.0,80.0,19.0,4.0,500.0,Severe,CO,True,Valid AQI,30.8,70,0.0,5.5,85,81.88,Very high trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,62.75,1.7857142857142858,0.56,0.6125,0.3877551020408163,27.8,22.53,17.84,46.57,31.64,Biomass / fine-particle combustion,46.57,31.64,14.93,37.08,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,499.9996227569056,449.4258930471554,499.9996227569056,500.0,Severe,500.0,Severe,Severe,-0.0003772430944195,Stable,32.07,Low,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,81.32,Critical,73.49,High,79.72,High,68.64,High,1,1,0,Critical forecast hotspot,69.99,High,8,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
delhi__delhi__shadipur_delhi_cpcb,"Shadipur, Delhi - CPCB",Delhi,Delhi,28.6514781,77.1473105,2026-07-16 05:00:00,152.0,146.0,45.0,13.0,45.0,52.0,10.0,468.87,Severe,CO,True,Valid AQI,35.6,45,0.0,10.4,8,56.12,Moderate trapping,Dense urban proxy,Proxy from station/city naming,60,55,69.84,0.9605263157894736,1.0410958904109588,1.0,1.1555555555555554,56.01,27.27,44.07,48.86,53.94,Vehicular traffic,56.01,53.94,2.07,39.83,Low confidence,elevated NO2/CO signal; road-density or urban-pressure influence; traffic/commercial land-use proxy,Aligned,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",2026-07-16 10:55:13,2026-07-16 04:00:00,499.44935555555554,448.8756258458053,499.44935555555554,500.0,Severe,468.87,Severe,Severe,30.579355555555537,Increasing,57.0,Moderate,Proxy derived from ground pollutants and meteorology; not direct satellite imagery,38.96,Low,82.84,Critical,78.18,High,67.5,High,1,1,1,Critical forecast hotspot,69.33,High,9,Usable,"Advanced intelligence layer combines real AQI, forecasted AQI, pollutant signals, meteorological dispersion, source attribution, and intervention scoring."
