state,city,stations,mean_current_aqi,max_current_aqi,mean_forecast_aqi,max_forecast_aqi,mean_priority_score,max_priority_score,current_hotspot_stations,forecast_hotspot_stations,emerging_hotspot_stations,mean_health_exposure_risk,mean_dispersion_index,mean_satellite_aerosol_proxy,city_priority_rank
Uttar Pradesh,Khora,1,500.0,500.0,488.82,488.82,73.22,73.22,1,1,0,89.84,38.45,68.2,1
Uttar Pradesh,Muzaffarnagar,1,462.64,462.64,491.16,491.16,72.69,72.69,1,1,1,80.41,65.87,49.64,2
Assam,Byrnihat,1,500.0,500.0,492.13,492.13,71.76,71.76,1,1,0,78.33,83.01,32.61,3
Haryana,Karnal,1,493.77,493.77,499.21,499.21,71.69,71.69,1,1,0,85.84,51.78,51.0,4
Gujarat,Bhavnagar,1,500.0,500.0,500.0,500.0,69.99,69.99,1,1,0,73.49,81.32,32.07,5
Bihar,Chhapra,1,500.0,500.0,500.0,500.0,68.85,68.85,1,1,0,76.49,65.14,38.92,6
Haryana,Ambala,1,500.0,500.0,499.86,499.86,68.36,68.36,1,1,0,78.46,58.02,41.28,7
Punjab,Rupnagar,1,500.0,500.0,487.35,487.35,68.18,68.18,1,1,0,78.46,67.25,33.84,8
Bihar,Bihar Sharif,1,500.0,500.0,499.96,499.96,67.51,67.51,1,1,0,72.13,83.15,22.74,9
Punjab,Mandi Gobindgarh,1,500.0,500.0,499.88,499.88,67.4,67.4,1,1,0,78.01,54.58,41.29,10
Haryana,Ballabgarh,1,500.0,500.0,486.43,486.43,67.4,67.4,1,1,0,83.62,33.61,55.36,10
Haryana,Fatehabad,1,487.55,487.55,490.17,490.17,66.86,66.86,1,1,0,80.54,40.8,50.52,11
Bihar,Rajgir,1,456.42,456.42,460.56,460.56,66.59,66.59,1,1,0,69.84,85.61,26.79,12
Haryana,Bahadurgarh,1,493.77,493.77,492.58,492.58,66.13,66.13,1,1,0,83.07,35.15,49.48,13
Haryana,Hisar,1,500.0,500.0,499.54,499.54,66.01,66.01,1,1,0,79.96,33.25,53.09,14
Bihar,Arrah,1,487.55,487.55,491.06,491.06,64.59,64.59,1,1,0,70.21,77.53,20.65,15
Gujarat,Ankleshwar,1,493.77,493.77,489.68,489.68,64.49,64.49,1,1,0,70.75,67.5,28.69,16
Bihar,Hajipur,1,406.6,406.6,408.44,408.44,64.01,64.01,1,1,0,66.74,79.38,35.69,17
Himachal Pradesh,Baddi,1,500.0,500.0,499.98,499.98,63.76,63.76,1,1,0,74.12,50.42,35.85,18
Haryana,Sonipat,1,388.28,388.28,383.96,383.96,63.52,63.52,1,1,0,74.98,46.24,58.4,19
Odisha,Cuttack,1,500.0,500.0,498.07,498.07,61.68,61.68,1,1,0,71.9,41.02,39.28,20
Andhra Pradesh,Amaravati,1,500.0,500.0,465.74,465.74,61.66,61.66,1,1,0,70.21,40.15,45.83,21
Bihar,Katihar,1,500.0,500.0,498.93,498.93,61.64,61.64,1,1,0,67.51,67.94,19.86,22
Uttar Pradesh,Meerut,4,441.95,500.0,444.62,500.0,61.3,74.32,4,4,0,70.68,50.34,41.09,23
Uttar Pradesh,Ghaziabad,5,456.34,500.0,474.29,500.0,60.7,65.36,5,5,1,70.53,40.6,41.93,24
Haryana,Faridabad,3,445.19,500.0,441.52,498.46,60.65,71.94,3,3,0,74.39,34.04,49.59,25
Bihar,Purnia,1,500.0,500.0,500.0,500.0,60.43,60.43,1,1,0,70.67,53.48,24.6,26
Gujarat,Rajkot,1,500.0,500.0,500.0,500.0,60.37,60.37,1,1,0,69.09,46.15,32.75,27
Punjab,Jalandhar,1,443.96,443.96,447.96,447.96,60.25,60.25,1,1,0,65.03,66.64,27.9,28
Punjab,Khanna,1,468.87,468.87,466.08,466.08,60.03,60.03,1,1,0,66.68,62.21,25.76,29
West Bengal,Siliguri,1,394.14,394.14,400.5,400.5,59.02,59.02,1,1,0,58.25,73.87,33.07,30
Gujarat,Vadodara,1,500.0,500.0,487.96,487.96,58.77,58.77,1,1,0,70.01,47.95,25.6,31
Haryana,Yamuna Nagar,1,324.79,324.79,331.1,331.1,58.68,58.68,1,1,0,62.9,63.61,48.29,32
Punjab,Amritsar,1,370.71,370.71,371.65,371.65,58.49,58.49,1,1,0,62.17,69.0,36.24,33
Haryana,Dharuhera,1,500.0,500.0,488.77,488.77,58.32,58.32,1,1,0,75.21,19.75,43.23,34
Odisha,Angul,1,500.0,500.0,500.0,500.0,58.28,58.28,1,1,0,67.53,41.95,30.55,35
Haryana,Sirsa,1,500.0,500.0,457.66,457.66,58.13,58.13,1,1,0,71.84,29.17,41.65,36
Haryana,Panchgaon,1,395.4,395.4,394.41,394.41,58.05,58.05,1,1,0,73.87,24.77,56.87,37
Gujarat,Mehsana,1,500.0,500.0,500.0,500.0,58.02,58.02,1,1,0,68.64,47.3,23.49,38
Haryana,Kurukshetra,1,317.99,317.99,325.56,325.56,58.01,58.01,1,1,0,59.98,58.21,54.92,39
Gujarat,Vatva,1,382.43,382.43,382.36,382.36,57.99,57.99,1,1,0,64.25,56.2,41.58,40
Haryana,Jind,1,366.23,366.23,364.61,364.61,57.96,57.96,1,1,0,70.2,42.19,50.38,41
Bihar,Patna,6,369.74,500.0,371.0,498.72,57.22,69.13,5,5,0,58.18,78.79,27.27,42
Haryana,Gurugram,4,417.56,500.0,417.52,500.0,56.82,64.17,4,4,0,70.69,28.24,48.94,43
Bihar,Buxar,1,347.28,347.28,330.99,330.99,56.71,56.71,1,1,0,54.69,91.02,24.71,44
Assam,Nagaon,1,329.7,329.7,324.5,324.5,56.48,56.48,1,1,0,54.3,93.67,23.77,45
Bihar,Saharsa,1,431.51,431.51,431.45,431.45,55.81,55.81,1,1,0,58.63,65.4,22.74,46
Uttar Pradesh,Moradabad,6,391.84,500.0,390.67,499.75,55.8,66.18,6,6,0,57.94,70.8,25.92,47
Jharkhand,Jorapokhar,1,431.51,431.51,431.32,431.32,55.58,55.58,1,1,0,61.48,57.65,25.62,48
Punjab,Bathinda,1,500.0,500.0,499.93,499.93,55.1,55.1,1,1,0,65.05,46.0,17.86,49
Punjab,Ludhiana,1,347.28,347.28,347.73,347.73,55.0,55.0,1,1,0,59.2,59.85,39.14,50
Bihar,Gaya,2,380.42,425.28,363.5,378.31,54.9,58.97,2,2,0,56.48,73.38,25.46,51
Rajasthan,Pali,1,370.71,370.71,360.65,360.65,54.77,54.77,1,1,0,64.88,37.23,49.21,52
Assam,Guwahati,4,297.8,406.6,294.57,401.78,54.38,74.19,3,3,0,51.2,91.19,27.26,53
Rajasthan,Jaipur,6,421.68,500.0,423.2,499.92,54.34,63.49,6,6,0,66.25,29.98,41.67,54
Chandigarh,Chandigarh,3,406.25,487.55,400.58,465.22,54.24,60.69,3,3,0,58.94,65.7,21.37,55
Haryana,Manesar,1,388.28,388.28,389.81,389.81,54.1,54.1,1,1,0,67.29,26.03,49.38,56
Delhi,Delhi,44,413.67,500.0,422.01,500.0,54.07,69.33,42,42,4,62.85,37.0,38.52,57
Odisha,Brajrajnagar,1,364.85,364.85,354.66,354.66,54.04,54.04,1,1,0,52.85,80.11,22.75,58
Uttar Pradesh,Lucknow,6,380.95,456.42,384.96,480.42,53.92,62.32,6,6,0,59.6,58.94,28.67,59
Chhattisgarh,Bilaspur,1,382.43,382.43,368.21,368.21,53.8,53.8,1,1,0,55.25,73.91,21.98,60
Odisha,Rourkela,3,356.32,456.42,358.66,463.04,53.43,62.98,3,3,0,54.44,70.77,26.94,61
Bihar,Munger,1,412.83,412.83,409.43,409.43,53.38,53.38,1,1,0,58.29,60.95,21.82,62
Haryana,Palwal,1,481.32,481.32,490.52,490.52,53.35,53.35,1,1,0,65.08,31.92,25.58,63
West Bengal,Haldia,1,419.06,419.06,411.16,411.16,53.1,53.1,1,1,0,57.19,66.86,16.13,64
Andhra Pradesh,Visakhapatnam,1,228.26,228.26,269.99,269.99,53.07,53.07,1,1,1,45.5,75.37,47.46,65
Uttar Pradesh,Noida,4,397.87,487.55,391.77,472.47,52.94,61.38,4,4,0,61.31,37.33,40.9,66
Rajasthan,Udaipur,1,400.0,400.0,407.4,407.4,52.75,52.75,1,1,0,59.41,46.02,32.15,67
Rajasthan,Jhalawar,1,437.74,437.74,456.74,456.74,52.4,52.4,1,1,0,60.04,40.01,26.59,68
Odisha,Bhubaneswar,2,462.64,481.32,461.09,473.42,52.22,52.55,2,2,0,62.24,29.78,31.62,69
Maharashtra,Chandrapur,2,465.76,500.0,445.08,497.35,52.08,59.49,2,2,0,61.5,40.01,24.65,70
Assam,Sivasagar,1,312.13,312.13,298.4,298.4,51.97,51.97,1,1,0,45.98,100.0,16.6,71
West Bengal,Barrackpore,1,425.28,425.28,431.29,431.29,51.92,51.92,1,1,0,57.46,53.47,20.27,72
Odisha,Bileipada,1,341.42,341.42,338.78,338.78,51.62,51.62,1,1,0,54.03,58.59,35.01,73
Rajasthan,Bhilwara,1,425.28,425.28,412.33,412.33,51.57,51.57,1,1,0,58.74,44.27,28.45,74
Punjab,Patiala,1,358.99,358.99,362.08,362.08,51.4,51.4,1,1,0,54.8,56.47,31.17,75
Haryana,Charkhi Dadri,1,370.07,370.07,362.1,362.1,50.97,50.97,1,1,0,67.11,16.9,50.22,76
Madhya Pradesh,Katni,1,370.71,370.71,366.77,366.77,50.65,50.65,1,1,0,54.29,49.89,33.78,77
Uttarakhand,Rishikesh,1,419.06,419.06,418.76,418.76,50.55,50.55,1,1,0,54.68,63.46,11.64,78
Andhra Pradesh,Vijayawada,4,391.04,481.32,385.01,458.86,50.36,57.64,4,4,0,56.32,46.89,29.55,79
Uttar Pradesh,Kanpur,3,421.86,500.0,411.11,459.16,50.24,55.92,3,3,0,59.4,39.8,26.92,80
