state,city,station_count,valid_station_count,mean_aqi,max_aqi,severe_station_count,very_poor_station_count,poor_station_count,city_risk_level,data_quality
Andhra Pradesh,Amaravati,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Andhra Pradesh,Anantapur,1,1,329.7,329.7,0,1,0,Very Poor,Valid station data available
Andhra Pradesh,Chittoor,1,1,323.85,323.85,0,1,0,Very Poor,Valid station data available
Andhra Pradesh,Eluru,1,1,306.27,306.27,0,1,0,Very Poor,Valid station data available
Andhra Pradesh,Guntur,1,1,271.3,271.3,0,0,1,Poor,Valid station data available
Andhra Pradesh,Kadapa,1,1,364.85,364.85,0,1,0,Very Poor,Valid station data available
Andhra Pradesh,Kurnool,1,1,174.94,174.94,0,0,0,Moderate,Valid station data available
Andhra Pradesh,Machilipatnam,1,1,317.99,317.99,0,1,0,Very Poor,Valid station data available
Andhra Pradesh,Nellore,1,1,412.83,412.83,1,0,0,Severe,Valid station data available
Andhra Pradesh,Rajamahendravaram,1,1,353.14,353.14,0,1,0,Very Poor,Valid station data available
Andhra Pradesh,Tirumala,1,1,162.41,162.41,0,0,0,Moderate,Valid station data available
Andhra Pradesh,Tirupati,1,1,323.85,323.85,0,1,0,Very Poor,Valid station data available
Andhra Pradesh,Vijayawada,4,4,391.04,481.32,1,3,0,Very Poor,Valid station data available
Andhra Pradesh,Visakhapatnam,1,1,228.26,228.26,0,0,1,Poor,Valid station data available
Assam,Byrnihat,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Assam,Guwahati,4,4,297.8,406.6,1,1,1,Poor,Valid station data available
Assam,Nagaon,1,1,329.7,329.7,0,1,0,Very Poor,Valid station data available
Assam,Nalbari,1,1,323.85,323.85,0,1,0,Very Poor,Valid station data available
Assam,Silchar,1,1,388.28,388.28,0,1,0,Very Poor,Valid station data available
Assam,Sivasagar,1,1,312.13,312.13,0,1,0,Very Poor,Valid station data available
Bihar,Araria,1,1,317.99,317.99,0,1,0,Very Poor,Valid station data available
Bihar,Arrah,1,1,487.55,487.55,1,0,0,Severe,Valid station data available
Bihar,Aurangabad,1,0,,,0,0,0,Unknown,No valid AQI station after pollutant coverage check
Bihar,Begusarai,1,1,300.0,300.0,0,0,1,Poor,Valid station data available
Bihar,Bettiah,1,0,,,0,0,0,Unknown,No valid AQI station after pollutant coverage check
Bihar,Bhagalpur,2,1,323.85,323.85,0,1,0,Very Poor,Valid station data available
Bihar,Bihar Sharif,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Bihar,Buxar,1,1,347.28,347.28,0,1,0,Very Poor,Valid station data available
Bihar,Chhapra,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Bihar,Gaya,2,2,380.42,425.28,1,1,0,Very Poor,Valid station data available
Bihar,Hajipur,1,1,406.6,406.6,1,0,0,Severe,Valid station data available
Bihar,Katihar,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Bihar,Kishanganj,1,1,256.96,256.96,0,0,1,Poor,Valid station data available
Bihar,Manguraha,1,0,,,0,0,0,Unknown,No valid AQI station after pollutant coverage check
Bihar,Motihari,1,1,228.26,228.26,0,0,1,Poor,Valid station data available
Bihar,Munger,1,1,412.83,412.83,1,0,0,Severe,Valid station data available
Bihar,Muzaffarpur,3,3,328.51,419.06,1,1,1,Very Poor,Valid station data available
Bihar,Patna,6,6,369.74,500.0,3,2,0,Very Poor,Valid station data available
Bihar,Purnia,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Bihar,Rajgir,1,1,456.42,456.42,1,0,0,Severe,Valid station data available
Bihar,Saharsa,1,1,431.51,431.51,1,0,0,Severe,Valid station data available
Bihar,Samastipur,1,1,124.81,124.81,0,0,0,Moderate,Valid station data available
Bihar,Sasaram,1,0,,,0,0,0,Unknown,No valid AQI station after pollutant coverage check
Bihar,Siwan,1,0,,,0,0,0,Unknown,No valid AQI station after pollutant coverage check
Chandigarh,Chandigarh,3,3,406.25,487.55,2,1,0,Severe,Valid station data available
Chhattisgarh,Bhilai,3,3,339.33,382.43,0,2,1,Very Poor,Valid station data available
Chhattisgarh,Bilaspur,1,1,382.43,382.43,0,1,0,Very Poor,Valid station data available
Chhattisgarh,Chhal,1,1,213.91,213.91,0,0,1,Poor,Valid station data available
Chhattisgarh,Korba,2,2,233.52,329.7,0,1,0,Poor,Valid station data available
Chhattisgarh,Kunjemura,1,1,329.7,329.7,0,1,0,Very Poor,Valid station data available
Chhattisgarh,Milupara,1,1,162.41,162.41,0,0,0,Moderate,Valid station data available
Chhattisgarh,Raipur,4,3,310.04,317.99,0,2,1,Very Poor,Valid station data available
Chhattisgarh,Tumidih,1,1,271.3,271.3,0,0,1,Poor,Valid station data available
Delhi,Delhi,44,44,413.67,500.0,24,18,0,Severe,Valid station data available
Gujarat,Ahmedabad,8,8,378.28,500.0,3,4,0,Very Poor,Valid station data available
Gujarat,Ankleshwar,1,1,493.77,493.77,1,0,0,Severe,Valid station data available
Gujarat,Bhavnagar,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Gujarat,Gandhinagar,3,3,367.18,412.83,1,2,0,Very Poor,Valid station data available
Gujarat,Mehsana,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Gujarat,Rajkot,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Gujarat,Surat,2,2,418.87,437.74,1,1,0,Severe,Valid station data available
Gujarat,Vadodara,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Gujarat,Vapi,1,1,121.48,121.48,0,0,0,Moderate,Valid station data available
Gujarat,Vatva,1,1,382.43,382.43,0,1,0,Very Poor,Valid station data available
Haryana,Ambala,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Haryana,Bahadurgarh,1,1,493.77,493.77,1,0,0,Severe,Valid station data available
Haryana,Ballabgarh,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Haryana,Bhiwani,1,1,312.13,312.13,0,1,0,Very Poor,Valid station data available
Haryana,Charkhi Dadri,1,1,370.07,370.07,0,1,0,Very Poor,Valid station data available
Haryana,Dharuhera,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Haryana,Faridabad,3,3,445.19,500.0,2,1,0,Severe,Valid station data available
Haryana,Fatehabad,1,1,487.55,487.55,1,0,0,Severe,Valid station data available
Haryana,Gurugram,4,4,417.56,500.0,2,2,0,Severe,Valid station data available
Haryana,Hisar,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Haryana,Jind,1,1,366.23,366.23,0,1,0,Very Poor,Valid station data available
Haryana,Kaithal,1,0,,,0,0,0,Unknown,No valid AQI station after pollutant coverage check
Haryana,Karnal,1,1,493.77,493.77,1,0,0,Severe,Valid station data available
Haryana,Kurukshetra,1,1,317.99,317.99,0,1,0,Very Poor,Valid station data available
Haryana,Mandikhera,1,1,394.14,394.14,0,1,0,Very Poor,Valid station data available
Haryana,Manesar,1,1,388.28,388.28,0,1,0,Very Poor,Valid station data available
Haryana,Narnaul,1,1,304.07,304.07,0,1,0,Very Poor,Valid station data available
Haryana,Palwal,1,1,481.32,481.32,1,0,0,Severe,Valid station data available
Haryana,Panchgaon,1,1,395.4,395.4,0,1,0,Very Poor,Valid station data available
Haryana,Panchkula,1,1,312.13,312.13,0,1,0,Very Poor,Valid station data available
Haryana,Panipat,1,1,353.14,353.14,0,1,0,Very Poor,Valid station data available
Haryana,Rohtak,1,1,425.28,425.28,1,0,0,Severe,Valid station data available
Haryana,Sirsa,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Haryana,Sonipat,1,1,388.28,388.28,0,1,0,Very Poor,Valid station data available
Haryana,Yamuna Nagar,1,1,324.79,324.79,0,1,0,Very Poor,Valid station data available
