state,city,station_count,mean_reported_aqi,max_reported_aqi,mean_source_confidence,mean_environmental_risk_score,dominant_city_source
Andhra Pradesh,Amaravati,1,500.0,500.0,28.03,51.86,Construction / road dust
Andhra Pradesh,Anantapur,1,329.7,329.7,26.42,34.66,Biomass / fine-particle combustion
Andhra Pradesh,Chittoor,1,323.85,323.85,26.22,37.09,Biomass / fine-particle combustion
Andhra Pradesh,Eluru,1,306.27,306.27,26.25,37.99,Biomass / fine-particle combustion
Andhra Pradesh,Guntur,1,271.3,271.3,22.92,31.32,Photochemical smog
Andhra Pradesh,Kadapa,1,364.85,364.85,23.88,37.4,Photochemical smog
Andhra Pradesh,Kurnool,1,174.94,174.94,26.26,17.03,Photochemical smog
Andhra Pradesh,Machilipatnam,1,317.99,317.99,22.04,31.5,Photochemical smog
Andhra Pradesh,Nellore,1,412.83,412.83,26.51,41.3,Photochemical smog
Andhra Pradesh,Rajamahendravaram,1,353.14,353.14,22.36,39.87,Biomass / fine-particle combustion
Andhra Pradesh,Tirumala,1,162.41,162.41,22.78,20.73,Photochemical smog
Andhra Pradesh,Tirupati,1,323.85,323.85,26.14,37.9,Photochemical smog
Andhra Pradesh,Vijayawada,4,391.04,481.32,27.7,43.5,Biomass / fine-particle combustion
Andhra Pradesh,Visakhapatnam,1,228.26,228.26,25.91,35.16,Photochemical smog
Assam,Byrnihat,1,500.0,500.0,41.75,63.47,Biomass / fine-particle combustion
Assam,Guwahati,4,297.8,406.6,36.33,49.63,Biomass / fine-particle combustion
Assam,Nagaon,1,329.7,329.7,38.23,50.06,Biomass / fine-particle combustion
Assam,Nalbari,1,323.85,323.85,30.2,53.04,Vehicular traffic
Assam,Silchar,1,388.28,388.28,24.59,48.85,Biomass / fine-particle combustion
Assam,Sivasagar,1,312.13,312.13,32.91,52.51,Biomass / fine-particle combustion
Bihar,Araria,1,317.99,317.99,25.18,42.37,Biomass / fine-particle combustion
Bihar,Arrah,1,487.55,487.55,36.45,60.56,Biomass / fine-particle combustion
Bihar,Aurangabad,1,,,20.23,,Photochemical smog
Bihar,Begusarai,1,300.0,300.0,25.48,41.43,Biomass / fine-particle combustion
Bihar,Bettiah,1,,,0.0,,Insufficient pollutant signal
Bihar,Bhagalpur,2,323.85,323.85,26.34,53.17,Vehicular traffic
Bihar,Bihar Sharif,1,500.0,500.0,49.1,62.99,Biomass / fine-particle combustion
Bihar,Buxar,1,347.28,347.28,35.26,50.89,Biomass / fine-particle combustion
Bihar,Chhapra,1,500.0,500.0,40.91,58.54,Biomass / fine-particle combustion
Bihar,Gaya,2,380.42,425.28,29.88,50.18,Biomass / fine-particle combustion
Bihar,Hajipur,1,406.6,406.6,47.82,62.13,Photochemical smog
Bihar,Katihar,1,500.0,500.0,37.43,59.46,Biomass / fine-particle combustion
Bihar,Kishanganj,1,256.96,256.96,28.94,38.35,Biomass / fine-particle combustion
Bihar,Manguraha,1,,,0.0,,Insufficient pollutant signal
Bihar,Motihari,1,228.26,228.26,30.8,34.69,Biomass / fine-particle combustion
Bihar,Munger,1,412.83,412.83,28.19,49.68,Biomass / fine-particle combustion
Bihar,Muzaffarpur,3,328.51,419.06,27.43,43.72,Biomass / fine-particle combustion
Bihar,Patna,6,369.74,500.0,34.88,70.66,Vehicular traffic
Bihar,Purnia,1,500.0,500.0,35.63,56.22,Biomass / fine-particle combustion
Bihar,Rajgir,1,456.42,456.42,37.24,59.62,Biomass / fine-particle combustion
Bihar,Saharsa,1,431.51,431.51,22.46,52.27,Photochemical smog
Bihar,Samastipur,1,124.81,124.81,27.7,25.54,Biomass / fine-particle combustion
Bihar,Sasaram,1,,,0.0,,Insufficient pollutant signal
Bihar,Siwan,1,,,14.72,,Photochemical smog
Chandigarh,Chandigarh,3,406.25,487.55,26.41,58.93,Photochemical smog
Chhattisgarh,Bhilai,3,339.33,382.43,24.2,43.0,Biomass / fine-particle combustion
Chhattisgarh,Bilaspur,1,382.43,382.43,32.86,49.66,Biomass / fine-particle combustion
Chhattisgarh,Chhal,1,213.91,213.91,30.47,35.21,Biomass / fine-particle combustion
Chhattisgarh,Korba,2,233.52,329.7,25.22,36.61,Biomass / fine-particle combustion
Chhattisgarh,Kunjemura,1,329.7,329.7,23.38,46.23,Biomass / fine-particle combustion
Chhattisgarh,Milupara,1,162.41,162.41,26.3,31.06,Biomass / fine-particle combustion
Chhattisgarh,Raipur,4,310.04,317.99,17.68,42.98,Biomass / fine-particle combustion
Chhattisgarh,Tumidih,1,271.3,271.3,22.32,48.91,Industrial combustion
Delhi,Delhi,44,413.67,500.0,40.03,65.23,Vehicular traffic
Gujarat,Ahmedabad,8,378.28,500.0,35.51,66.06,Vehicular traffic
Gujarat,Ankleshwar,1,493.77,493.77,31.19,58.81,Biomass / fine-particle combustion
Gujarat,Bhavnagar,1,500.0,500.0,37.08,62.75,Biomass / fine-particle combustion
Gujarat,Gandhinagar,3,367.18,412.83,22.81,44.63,Photochemical smog
Gujarat,Mehsana,1,500.0,500.0,33.67,54.56,Biomass / fine-particle combustion
Gujarat,Rajkot,1,500.0,500.0,34.19,54.12,Biomass / fine-particle combustion
Gujarat,Surat,2,418.87,437.74,35.03,68.89,Vehicular traffic
Gujarat,Vadodara,1,500.0,500.0,43.12,76.02,Vehicular traffic
Gujarat,Vapi,1,121.48,121.48,21.33,29.92,Photochemical smog
Gujarat,Vatva,1,382.43,382.43,26.04,54.38,Industrial combustion
Haryana,Ambala,1,500.0,500.0,35.99,57.2,Biomass / fine-particle combustion
Haryana,Bahadurgarh,1,493.77,493.77,45.39,50.77,Biomass / fine-particle combustion
Haryana,Ballabgarh,1,500.0,500.0,40.54,50.59,Biomass / fine-particle combustion
Haryana,Bhiwani,1,312.13,312.13,27.36,30.98,Biomass / fine-particle combustion
Haryana,Charkhi Dadri,1,370.07,370.07,41.85,34.59,Biomass / fine-particle combustion
Haryana,Dharuhera,1,500.0,500.0,29.8,55.9,Industrial combustion
Haryana,Faridabad,3,445.19,500.0,35.35,71.23,Photochemical smog
