state,city,station_count,valid_station_count,mean_reported_aqi,max_reported_aqi,mean_weather_trapping_score,mean_urban_pressure_score,mean_road_density_proxy,mean_environmental_risk_score
Andhra Pradesh,Amaravati,1,1,500.0,500.0,55.79,15.0,20.0,51.86
Andhra Pradesh,Anantapur,1,1,329.7,329.7,52.55,15.0,20.0,34.66
Andhra Pradesh,Chittoor,1,1,323.85,323.85,59.68,15.0,20.0,37.09
Andhra Pradesh,Eluru,1,1,306.27,306.27,65.78,15.0,20.0,37.99
Andhra Pradesh,Guntur,1,1,271.3,271.3,57.59,15.0,20.0,31.32
Andhra Pradesh,Kadapa,1,1,364.85,364.85,51.28,15.0,20.0,37.4
Andhra Pradesh,Kurnool,1,1,174.94,174.94,44.83,15.0,20.0,17.03
Andhra Pradesh,Machilipatnam,1,1,317.99,317.99,47.6,15.0,20.0,31.5
Andhra Pradesh,Nellore,1,1,412.83,412.83,49.92,15.0,20.0,41.3
Andhra Pradesh,Rajamahendravaram,1,1,353.14,353.14,59.82,15.0,20.0,39.87
Andhra Pradesh,Tirumala,1,1,162.41,162.41,56.5,15.0,20.0,20.73
Andhra Pradesh,Tirupati,1,1,323.85,323.85,61.63,15.0,20.0,37.9
Andhra Pradesh,Vijayawada,4,4,391.04,481.32,60.06,15.0,20.0,43.5
Andhra Pradesh,Visakhapatnam,1,1,228.26,228.26,76.4,15.0,20.0,35.16
Assam,Byrnihat,1,1,500.0,500.0,83.6,15.0,20.0,63.47
Assam,Guwahati,4,4,297.8,406.6,88.18,18.75,33.75,49.63
Assam,Nagaon,1,1,329.7,329.7,89.46,15.0,20.0,50.06
Assam,Nalbari,1,1,323.85,323.85,68.37,30.0,75.0,53.04
Assam,Silchar,1,1,388.28,388.28,73.5,15.0,20.0,48.85
Assam,Sivasagar,1,1,312.13,312.13,99.26,15.0,20.0,52.51
Bihar,Araria,1,1,317.99,317.99,73.66,15.0,20.0,42.37
Bihar,Arrah,1,1,487.55,487.55,79.41,15.0,20.0,60.56
Bihar,Aurangabad,1,0,,,82.63,15.0,20.0,
Bihar,Begusarai,1,1,300.0,300.0,75.42,15.0,20.0,41.43
Bihar,Bettiah,1,0,,,73.84,15.0,20.0,
Bihar,Bhagalpur,2,1,323.85,323.85,68.69,22.5,47.5,53.17
