station_id,station_name,city,state,lat,lon,timestamp,snapshot_fetch_time,PM2.5,PM10,NO2,SO2,CO,O3,NH3,aqi,aqi_category,dominant_pollutant,valid_pollutant_count,has_particulate,aqi_is_valid,aqi_quality_flag,reported_aqi,reported_aqi_category,reported_dominant_pollutant
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-15 18:00:00,2026-07-15 19:50:36,46.0,135.0,33.0,17.0,38.0,51.0,3.0,425.28,Severe,CO,7.0,1.0,1.0,Valid AQI,425.28,Severe,CO
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-15 19:00:00,2026-07-15 20:21:44,46.0,135.0,33.0,17.0,41.0,50.0,3.0,443.96,Severe,CO,7.0,1.0,1.0,Valid AQI,443.96,Severe,CO
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-15 20:00:00,2026-07-15 21:23:14,47.0,136.0,34.0,17.0,52.0,46.0,3.0,500.0,Severe,CO,7.0,1.0,1.0,Valid AQI,500.0,Severe,CO
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-15 21:00:00,2026-07-15 22:25:46,47.0,139.0,35.0,,,,,126.25,Moderate,PM10,3.0,1.0,1.0,Valid AQI,126.25,Moderate,PM10
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-15 22:00:00,2026-07-15 23:43:01,48.0,144.0,36.0,16.0,62.0,37.0,3.0,500.0,Severe,CO,7.0,1.0,1.0,Valid AQI,500.0,Severe,CO
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-15 23:00:00,2026-07-16 00:28:55,50.0,153.0,37.0,16.0,65.0,30.0,3.0,500.0,Severe,CO,7.0,1.0,1.0,Valid AQI,500.0,Severe,CO
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-16 00:00:00,2026-07-16 01:15:38,53.0,163.0,37.0,16.0,66.0,24.0,3.0,500.0,Severe,CO,7.0,1.0,1.0,Valid AQI,500.0,Severe,CO
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-16 01:00:00,2026-07-16 02:17:36,56.0,173.0,37.0,16.0,65.0,17.0,3.0,500.0,Severe,CO,7.0,1.0,1.0,Valid AQI,500.0,Severe,CO
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-16 02:00:00,2026-07-16 03:19:35,57.0,180.0,36.0,16.0,65.0,13.0,3.0,500.0,Severe,CO,7.0,1.0,1.0,Valid AQI,500.0,Severe,CO
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-16 03:00:00,2026-07-16 04:21:08,56.0,178.0,35.0,16.0,68.0,11.0,3.0,500.0,Severe,CO,7.0,1.0,1.0,Valid AQI,500.0,Severe,CO
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-16 04:00:00,2026-07-16 05:23:03,54.0,175.0,34.0,16.0,67.0,12.0,3.0,500.0,Severe,CO,7.0,1.0,1.0,Valid AQI,500.0,Severe,CO
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-16 05:00:00,2026-07-16 05:38:19,54.0,172.0,32.0,16.0,61.0,13.0,3.0,500.0,Severe,CO,7.0,1.0,1.0,Valid AQI,500.0,Severe,CO
andhra_pradesh__anantapur__gulzarpet_anantapur_appcb,"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,14.675886,77.593027,2026-07-15 18:00:00,2026-07-15 19:50:36,93.0,78.0,17.0,12.0,25.0,35.0,3.0,347.28,Very Poor,CO,7.0,1.0,1.0,Valid AQI,347.28,Very Poor,CO
andhra_pradesh__anantapur__gulzarpet_anantapur_appcb,"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,14.675886,77.593027,2026-07-15 19:00:00,2026-07-15 20:21:44,93.0,79.0,17.0,12.0,25.0,36.0,3.0,347.28,Very Poor,CO,7.0,1.0,1.0,Valid AQI,347.28,Very Poor,CO
