station_name,city,state,lat,lon,timestamp,PM2.5,PM10,NO2,SO2,CO,O3,NH3,PM2.5_sub_index,PM10_sub_index,NO2_sub_index,SO2_sub_index,CO_sub_index,O3_sub_index,NH3_sub_index,aqi,dominant_pollutant,aqi_category,snapshot_fetch_time,station_id,valid_pollutant_count,has_particulate,aqi_is_valid,aqi_quality_flag,reported_aqi,reported_aqi_category,reported_dominant_pollutant
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-16 05:00:00,54.0,172.0,32.0,16.0,61.0,13.0,3.0,89.86,148.17,40.0,20.0,500.0,13.0,0.75,500.0,CO,Severe,2026-07-16 05:38:19,andhra_pradesh__amaravati__secretariat_amaravati_appcb,7,True,True,Valid AQI,500.0,Severe,CO
"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,14.675886,77.593027,2026-07-16 05:00:00,85.0,76.0,16.0,11.0,22.0,31.0,3.0,182.93,76.0,20.0,13.75,329.7,31.0,0.75,329.7,CO,Very Poor,2026-07-16 05:38:19,andhra_pradesh__anantapur__gulzarpet_anantapur_appcb,7,True,True,Valid AQI,329.7,Very Poor,CO
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,13.20488,79.097889,2026-07-16 05:00:00,70.0,64.0,31.0,21.0,21.0,39.0,6.0,131.72,64.0,38.75,26.25,323.85,39.0,1.5,323.85,CO,Very Poor,2026-07-16 05:38:19,andhra_pradesh__chittoor__gangineni_cheruvu_chittoor_appcb,7,True,True,Valid AQI,323.85,Very Poor,CO
"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,16.711754,81.092095,2026-07-16 05:00:00,49.0,49.0,22.0,13.0,18.0,6.0,4.0,81.41,49.0,27.5,16.25,306.27,6.0,1.0,306.27,CO,Very Poor,2026-07-16 05:38:19,andhra_pradesh__eluru__district_court_eluru_appcb,7,True,True,Valid AQI,306.27,Very Poor,CO
"Rajendra Nagar North, Guntur - APPCB",Guntur,Andhra Pradesh,16.316553,80.413302,2026-07-16 05:00:00,52.0,52.0,42.0,14.0,15.0,25.0,9.0,86.48,52.0,52.26,17.5,271.3,25.0,2.25,271.3,CO,Poor,2026-07-16 05:38:19,andhra_pradesh__guntur__rajendra_nagar_north_guntur_appcb,7,True,True,Valid AQI,271.3,Poor,CO
"Yerramukkapalli, Kadapa - APPCB",Kadapa,Andhra Pradesh,14.465052,78.824187,2026-07-16 05:00:00,50.0,52.0,23.0,11.0,28.0,39.0,14.0,83.1,52.0,28.75,13.75,364.85,39.0,3.5,364.85,CO,Very Poor,2026-07-16 05:38:19,andhra_pradesh__kadapa__yerramukkapalli_kadapa_appcb,7,True,True,Valid AQI,364.85,Very Poor,CO
"Sita Rama Nagar, Kurnool - APPCB",Kurnool,Andhra Pradesh,15.83411,78.028546,2026-07-16 05:00:00,58.0,59.0,29.0,10.0,8.0,19.0,5.0,96.62,59.0,36.25,12.5,174.94,19.0,1.25,174.94,CO,Moderate,2026-07-16 05:38:19,andhra_pradesh__kurnool__sita_rama_nagar_kurnool_appcb,7,True,True,Valid AQI,174.94,Moderate,CO
"Srinivas Nagar Colony, Machilipatnam - APPCB",Machilipatnam,Andhra Pradesh,16.186555,81.13219,2026-07-16 05:00:00,54.0,52.0,20.0,18.0,20.0,19.0,4.0,89.86,52.0,25.0,22.5,317.99,19.0,1.0,317.99,CO,Very Poor,2026-07-16 05:38:19,andhra_pradesh__machilipatnam__srinivas_nagar_colony_machilipatnam_appcb,7,True,True,Valid AQI,317.99,Very Poor,CO
"Ambedkar Nagar, Nellore - APPCB",Nellore,Andhra Pradesh,14.438164,79.966814,2026-07-16 05:00:00,53.0,65.0,29.0,15.0,36.0,38.0,7.0,88.17,65.0,36.25,18.75,412.83,38.0,1.75,412.83,CO,Severe,2026-07-16 05:38:19,andhra_pradesh__nellore__ambedkar_nagar_nellore_appcb,7,True,True,Valid AQI,412.83,Severe,CO
"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,16.9872867,81.7363176,2026-07-16 05:00:00,53.0,92.0,7.0,5.0,26.0,13.0,1.0,88.17,92.0,8.75,6.25,353.14,13.0,0.25,353.14,CO,Very Poor,2026-07-16 05:38:19,andhra_pradesh__rajamahendravaram__anand_kala_kshetram_rajamahendravaram_appcb,7,True,True,Valid AQI,353.14,Very Poor,CO
