station_id,station_name,city,state,lat,lon,timestamp,PM2.5,PM10,NO2,SO2,CO,O3,NH3,reported_aqi,reported_aqi_category,reported_dominant_pollutant,aqi_is_valid,aqi_quality_flag,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,cloud_cover,weather_trapping_score,weather_trapping_category,landuse_type_proxy,landuse_data_source,urban_pressure_score,road_density_proxy,environmental_risk_score,pm10_pm25_ratio,pm25_pm10_ratio,no2_co_ratio,o3_no2_ratio,source_score_vehicular_traffic,source_score_industrial_combustion,source_score_construction__road_dust,source_score_biomass__fine_particle_combustion,source_score_photochemical_smog,primary_pollution_source,primary_source_score,secondary_source_score,source_score_gap,source_attribution_confidence,source_attribution_confidence_category,source_evidence,landuse_source_alignment,recommended_intervention,notebook_03_processed_time
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-16 05:00:00,54.0,172.0,32.0,16.0,61.0,13.0,3.0,500.0,Severe,CO,True,Valid AQI,31.9,55,0.0,17.7,100,55.79,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,51.86,3.185185185185185,0.313953488372093,0.5245901639344263,0.40625,19.79,20.38,38.4,34.56,29.28,Construction / road dust,38.4,34.56,3.84,28.03,Low confidence,PM10-heavy particulate pattern; road dust / coarse-particle likelihood,Partially aligned,"High priority: Prioritize road dust suppression, construction-site covering, mechanical sweeping, and enforcement of dust-control rules.",2026-07-16 10:55:13
andhra_pradesh__anantapur__gulzarpet_anantapur_appcb,"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,14.675886,77.593027,2026-07-16 05:00:00,85.0,76.0,16.0,11.0,22.0,31.0,3.0,329.7,Very Poor,CO,True,Valid AQI,31.9,45,0.0,17.4,99,52.55,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,34.66,0.8941176470588236,1.118421052631579,0.7272727272727273,1.9375,8.15,10.05,24.84,35.37,29.84,Biomass / fine-particle combustion,35.37,29.84,5.53,26.42,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence,Partially aligned,"High priority: Prioritize open-burning control, biomass-combustion monitoring, fine-particle exposure advisories, and local source inspection.",2026-07-16 10:55:13
andhra_pradesh__chittoor__gangineni_cheruvu_chittoor_appcb,"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,13.20488,79.097889,2026-07-16 05:00:00,70.0,64.0,31.0,21.0,21.0,39.0,6.0,323.85,Very Poor,CO,True,Valid AQI,32.6,39,0.0,12.3,100,59.68,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,37.09,0.9142857142857143,1.09375,1.4761904761904763,1.2580645161290323,11.76,16.33,21.27,36.34,33.72,Biomass / fine-particle combustion,36.34,33.72,2.62,26.22,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence,Partially aligned,"High priority: Prioritize open-burning control, biomass-combustion monitoring, fine-particle exposure advisories, and local source inspection.",2026-07-16 10:55:13
andhra_pradesh__eluru__district_court_eluru_appcb,"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,16.711754,81.092095,2026-07-16 05:00:00,49.0,49.0,22.0,13.0,18.0,6.0,4.0,306.27,Very Poor,CO,True,Valid AQI,31.2,62,0.0,13.6,100,65.78,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,37.99,1.0,1.0,1.2222222222222223,0.2727272727272727,8.89,11.26,20.35,34.09,26.13,Biomass / fine-particle combustion,34.09,26.13,7.96,26.25,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"High priority: Prioritize open-burning control, biomass-combustion monitoring, fine-particle exposure advisories, and local source inspection.",2026-07-16 10:55:13
andhra_pradesh__guntur__rajendra_nagar_north_guntur_appcb,"Rajendra Nagar North, Guntur - APPCB",Guntur,Andhra Pradesh,16.316553,80.413302,2026-07-16 05:00:00,52.0,52.0,42.0,14.0,15.0,25.0,9.0,271.3,Poor,CO,True,Valid AQI,31.9,54,0.0,16.5,100,57.59,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,31.32,1.0,1.0,2.8,0.5952380952380952,13.4,14.6,21.99,31.11,32.25,Photochemical smog,32.25,31.11,1.14,22.92,Low confidence,O3 and temperature-related signal; urban photochemical formation likelihood,Partially aligned,"High priority: Prioritize NOx/VOC precursor control, traffic-emission reduction, and ozone exposure advisories during sunny high-temperature periods.",2026-07-16 10:55:13
andhra_pradesh__kadapa__yerramukkapalli_kadapa_appcb,"Yerramukkapalli, Kadapa - APPCB",Kadapa,Andhra Pradesh,14.465052,78.824187,2026-07-16 05:00:00,50.0,52.0,23.0,11.0,28.0,39.0,14.0,364.85,Very Poor,CO,True,Valid AQI,33.0,44,0.0,17.9,99,51.28,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,37.4,1.04,0.9615384615384616,0.8214285714285714,1.6956521739130435,11.09,12.11,22.67,31.25,33.26,Photochemical smog,33.26,31.25,2.01,23.88,Low confidence,O3 and temperature-related signal; urban photochemical formation likelihood,Partially aligned,"High priority: Prioritize NOx/VOC precursor control, traffic-emission reduction, and ozone exposure advisories during sunny high-temperature periods.",2026-07-16 10:55:13
andhra_pradesh__kurnool__sita_rama_nagar_kurnool_appcb,"Sita Rama Nagar, Kurnool - APPCB",Kurnool,Andhra Pradesh,15.83411,78.028546,2026-07-16 05:00:00,58.0,59.0,29.0,10.0,8.0,19.0,5.0,174.94,Moderate,CO,True,Valid AQI,33.0,46,0.0,18.5,38,44.83,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,17.03,1.0172413793103448,0.9830508474576272,3.625,0.6551724137931034,8.73,9.82,23.67,26.62,34.25,Photochemical smog,34.25,26.62,7.63,26.26,Low confidence,O3 and temperature-related signal; urban photochemical formation likelihood,Partially aligned,"Medium priority: Prioritize NOx/VOC precursor control, traffic-emission reduction, and ozone exposure advisories during sunny high-temperature periods.",2026-07-16 10:55:13
andhra_pradesh__machilipatnam__srinivas_nagar_colony_machilipatnam_appcb,"Srinivas Nagar Colony, Machilipatnam - APPCB",Machilipatnam,Andhra Pradesh,16.186555,81.13219,2026-07-16 05:00:00,54.0,52.0,20.0,18.0,20.0,19.0,4.0,317.99,Very Poor,CO,True,Valid AQI,33.6,48,0.0,20.8,100,47.6,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,31.5,0.9629629629629629,1.0384615384615385,1.0,0.95,8.77,13.16,23.88,29.1,30.77,Photochemical smog,30.77,29.1,1.67,22.04,Low confidence,O3 and temperature-related signal; urban photochemical formation likelihood,Partially aligned,"High priority: Prioritize NOx/VOC precursor control, traffic-emission reduction, and ozone exposure advisories during sunny high-temperature periods.",2026-07-16 10:55:13
andhra_pradesh__nellore__ambedkar_nagar_nellore_appcb,"Ambedkar Nagar, Nellore - APPCB",Nellore,Andhra Pradesh,14.438164,79.966814,2026-07-16 05:00:00,53.0,65.0,29.0,15.0,36.0,38.0,7.0,412.83,Severe,CO,True,Valid AQI,34.7,42,0.0,18.3,100,49.92,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,41.3,1.2264150943396226,0.8153846153846154,0.8055555555555556,1.3103448275862069,14.17,15.85,24.51,31.63,36.0,Photochemical smog,36.0,31.63,4.37,26.51,Low confidence,O3 and temperature-related signal; urban photochemical formation likelihood,Partially aligned,"High priority: Prioritize NOx/VOC precursor control, traffic-emission reduction, and ozone exposure advisories during sunny high-temperature periods.",2026-07-16 10:55:13
andhra_pradesh__rajamahendravaram__anand_kala_kshetram_rajamahendravaram_appcb,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,16.9872867,81.7363176,2026-07-16 05:00:00,53.0,92.0,7.0,5.0,26.0,13.0,1.0,353.14,Very Poor,CO,True,Valid AQI,30.8,64,0.0,17.3,100,59.82,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,39.87,1.7358490566037736,0.5760869565217391,0.2692307692307692,1.8571428571428572,6.63,6.77,27.65,30.66,24.7,Biomass / fine-particle combustion,30.66,27.65,3.01,22.36,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence,Partially aligned,"High priority: Prioritize open-burning control, biomass-combustion monitoring, fine-particle exposure advisories, and local source inspection.",2026-07-16 10:55:13
andhra_pradesh__tirumala__toll_gate_tirumala_appcb,"Toll Gate, Tirumala - APPCB",Tirumala,Andhra Pradesh,13.67,79.35,2026-07-16 05:00:00,44.0,68.0,66.0,7.0,7.0,21.0,3.0,162.41,Moderate,CO,True,Valid AQI,28.7,39,0.0,14.0,99,56.5,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,20.73,1.5454545454545454,0.6470588235294118,9.428571428571429,0.3181818181818182,17.94,14.78,23.31,26.44,30.71,Photochemical smog,30.71,26.44,4.27,22.78,Low confidence,O3 and temperature-related signal; urban photochemical formation likelihood,Partially aligned,"Medium priority: Prioritize NOx/VOC precursor control, traffic-emission reduction, and ozone exposure advisories during sunny high-temperature periods.",2026-07-16 10:55:13
andhra_pradesh__tirupati__vaikuntapuram_tirupati_appcb,"Vaikuntapuram, Tirupati - APPCB",Tirupati,Andhra Pradesh,13.615387,79.40923,2026-07-16 05:00:00,60.0,72.0,38.0,18.0,21.0,35.0,5.0,323.85,Very Poor,CO,True,Valid AQI,34.4,35,0.0,10.3,98,61.63,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,37.9,1.2,0.8333333333333334,1.8095238095238095,0.9210526315789473,13.54,16.35,21.61,34.33,36.44,Photochemical smog,36.44,34.33,2.11,26.14,Low confidence,O3 and temperature-related signal; urban photochemical formation likelihood,Partially aligned,"High priority: Prioritize NOx/VOC precursor control, traffic-emission reduction, and ozone exposure advisories during sunny high-temperature periods.",2026-07-16 10:55:13
andhra_pradesh__vijayawada__hb_colony_vijayawada_appcb,"HB Colony, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.536107,80.594233,2026-07-16 05:00:00,66.0,67.0,15.0,12.0,34.0,16.0,3.0,400.0,Very Poor,CO,True,Valid AQI,31.0,61,0.0,15.2,100,62.52,High trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,45.36,1.0151515151515151,0.9850746268656716,0.4411764705882353,1.0666666666666667,10.22,12.01,23.04,37.71,26.4,Biomass / fine-particle combustion,37.71,26.4,11.31,29.79,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence; high weather trapping,Partially aligned,"High priority: Prioritize open-burning control, biomass-combustion monitoring, fine-particle exposure advisories, and local source inspection.",2026-07-16 10:55:13
andhra_pradesh__vijayawada__kanuru_vijayawada_appcb,"Kanuru, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.486692,80.699436,2026-07-16 05:00:00,61.0,60.0,26.0,14.0,20.0,20.0,4.0,317.99,Very Poor,CO,True,Valid AQI,32.0,55,0.0,16.6,100,57.78,Moderate trapping,General urban / semi-urban proxy,Proxy from station/city naming,15,20,35.75,0.9836065573770492,1.0166666666666666,1.3,0.7692307692307693,10.3,12.62,22.87,33.19,29.64,Biomass / fine-particle combustion,33.19,29.64,3.55,24.3,Low confidence,PM2.5-heavy fine-particle pattern; CO and stagnant-weather influence,Partially aligned,"High priority: Prioritize open-burning control, biomass-combustion monitoring, fine-particle exposure advisories, and local source inspection.",2026-07-16 10:55:13
