station_id,station_name,city,state,lat,lon,timestamp,snapshot_fetch_time,PM2.5,PM10,NO2,SO2,CO,O3,NH3,aqi,aqi_category,dominant_pollutant,aqi_is_valid,aqi_quality_flag,reported_aqi,reported_aqi_category,reported_dominant_pollutant,weather_time,temperature_2m,relative_humidity_2m,precipitation,rain,wind_speed_10m,wind_direction_10m,surface_pressure,cloud_cover,weather_trapping_score,weather_trapping_category,weather_data_available,geo_region_proxy,landuse_type_proxy,landuse_data_source,urban_pressure_score,urban_pressure_category,road_density_proxy,road_density_category,road_density_data_source,geospatial_data_level,environmental_risk_score,environmental_risk_category,notebook_02_processed_time
andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-16 05:00:00,2026-07-16 05:38:19,54.0,172.0,32.0,16.0,61.0,13.0,3.0,500.0,Severe,CO,True,Valid AQI,500.0,Severe,CO,2026-07-16T10:30,31.9,55,0.0,0.0,17.7,298,1004.7,100,55.79,Moderate trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,51.86,High,2026-07-16 10:51:20
andhra_pradesh__anantapur__gulzarpet_anantapur_appcb,"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,14.675886,77.593027,2026-07-16 05:00:00,2026-07-16 05:38:19,85.0,76.0,16.0,11.0,22.0,31.0,3.0,329.7,Very Poor,CO,True,Valid AQI,329.7,Very Poor,CO,2026-07-16T10:30,31.9,45,0.0,0.0,17.4,280,970.8,99,52.55,Moderate trapping,True,South India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,34.66,Moderate,2026-07-16 10:51:20
andhra_pradesh__chittoor__gangineni_cheruvu_chittoor_appcb,"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,13.20488,79.097889,2026-07-16 05:00:00,2026-07-16 05:38:19,70.0,64.0,31.0,21.0,21.0,39.0,6.0,323.85,Very Poor,CO,True,Valid AQI,323.85,Very Poor,CO,2026-07-16T10:30,32.6,39,0.0,0.0,12.3,284,974.2,100,59.68,Moderate trapping,True,South India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,37.09,Moderate,2026-07-16 10:51:20
andhra_pradesh__eluru__district_court_eluru_appcb,"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,16.711754,81.092095,2026-07-16 05:00:00,2026-07-16 05:38:19,49.0,49.0,22.0,13.0,18.0,6.0,4.0,306.27,Very Poor,CO,True,Valid AQI,306.27,Very Poor,CO,2026-07-16T10:30,31.2,62,0.0,0.0,13.6,294,1004.6,100,65.78,High trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,37.99,Moderate,2026-07-16 10:51:20
andhra_pradesh__guntur__rajendra_nagar_north_guntur_appcb,"Rajendra Nagar North, Guntur - APPCB",Guntur,Andhra Pradesh,16.316553,80.413302,2026-07-16 05:00:00,2026-07-16 05:38:19,52.0,52.0,42.0,14.0,15.0,25.0,9.0,271.3,Poor,CO,True,Valid AQI,271.3,Poor,CO,2026-07-16T10:30,31.9,54,0.0,0.0,16.5,295,1001.9,100,57.59,Moderate trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,31.32,Moderate,2026-07-16 10:51:20
andhra_pradesh__kadapa__yerramukkapalli_kadapa_appcb,"Yerramukkapalli, Kadapa - APPCB",Kadapa,Andhra Pradesh,14.465052,78.824187,2026-07-16 05:00:00,2026-07-16 05:38:19,50.0,52.0,23.0,11.0,28.0,39.0,14.0,364.85,Very Poor,CO,True,Valid AQI,364.85,Very Poor,CO,2026-07-16T10:30,33.0,44,0.0,0.0,17.9,287,994.2,99,51.28,Moderate trapping,True,South India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,37.4,Moderate,2026-07-16 10:51:20
andhra_pradesh__kurnool__sita_rama_nagar_kurnool_appcb,"Sita Rama Nagar, Kurnool - APPCB",Kurnool,Andhra Pradesh,15.83411,78.028546,2026-07-16 05:00:00,2026-07-16 05:38:19,58.0,59.0,29.0,10.0,8.0,19.0,5.0,174.94,Moderate,CO,True,Valid AQI,174.94,Moderate,CO,2026-07-16T10:30,33.0,46,0.0,0.0,18.5,286,976.7,38,44.83,Moderate trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,17.03,Low,2026-07-16 10:51:20
andhra_pradesh__machilipatnam__srinivas_nagar_colony_machilipatnam_appcb,"Srinivas Nagar Colony, Machilipatnam - APPCB",Machilipatnam,Andhra Pradesh,16.186555,81.13219,2026-07-16 05:00:00,2026-07-16 05:38:19,54.0,52.0,20.0,18.0,20.0,19.0,4.0,317.99,Very Poor,CO,True,Valid AQI,317.99,Very Poor,CO,2026-07-16T10:30,33.6,48,0.0,0.0,20.8,298,1005.9,100,47.6,Moderate trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,31.5,Moderate,2026-07-16 10:51:20
andhra_pradesh__nellore__ambedkar_nagar_nellore_appcb,"Ambedkar Nagar, Nellore - APPCB",Nellore,Andhra Pradesh,14.438164,79.966814,2026-07-16 05:00:00,2026-07-16 05:38:19,53.0,65.0,29.0,15.0,36.0,38.0,7.0,412.83,Severe,CO,True,Valid AQI,412.83,Severe,CO,2026-07-16T10:30,34.7,42,0.0,0.0,18.3,285,1005.1,100,49.92,Moderate trapping,True,South India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,41.3,Moderate,2026-07-16 10:51:20
andhra_pradesh__rajamahendravaram__anand_kala_kshetram_rajamahendravaram_appcb,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,16.9872867,81.7363176,2026-07-16 05:00:00,2026-07-16 05:38:19,53.0,92.0,7.0,5.0,26.0,13.0,1.0,353.14,Very Poor,CO,True,Valid AQI,353.14,Very Poor,CO,2026-07-16T10:30,30.8,64,0.0,0.0,17.3,291,1004.5,100,59.82,Moderate trapping,True,Central India,General urban / semi-urban proxy,Proxy from station/city naming,15,Low urban pressure,20,Low road density proxy,Proxy from city/station naming,Proxy geospatial features,39.87,Moderate,2026-07-16 10:51:20
