feature,importance
aqi,0.40462526250746356
reported_aqi,0.40412050315301595
CO,0.04022295663822603
station_expanding_max_aqi,0.022896908625046286
aqi_lag_1,0.017085949079587586
aqi_rolling_mean_3,0.015416969989843349
station_expanding_min_aqi,0.014618669116157565
environmental_risk_score,0.003972432842205464
O3,0.003382228778235573
NO2,0.002981052384881826
PM10,0.0028735606695287044
aqi_rolling_mean_6,0.0028420786254297566
source_attribution_confidence,0.0025904186934200837
aqi_rolling_mean_24,0.0024731512634906657
hour,0.0024072427687205655
aqi_rolling_mean_12,0.002370166782871674
aqi_rolling_std_3,0.0022291648065733576
aqi_lag_2,0.002229140982487246
lat,0.0022050712797275183
station_expanding_mean_aqi,0.0021257247874454975
SO2,0.002094324666277113
PM2.5,0.002076074903638149
city_Jabalpur,0.0019649351112836764
aqi_lag_3,0.0019291838467163469
city_Tumakuru,0.0016341270304045205
relative_humidity_2m,0.0015504915882877449
state_Madhya Pradesh,0.0014869310467646067
temperature_2m,0.0014566441031928147
valid_pollutant_count,0.0013768695044600865
lon,0.0013408915386687289
aqi_rolling_std_24,0.0011595947514519745
aqi_rolling_std_6,0.00106289414993338
aqi_rolling_std_12,0.0010517491504493924
aqi_lag_6,0.0010284748120151042
city_Nandesari,0.0009892542231499603
station_expanding_std_aqi,0.000978189833018811
cloud_cover,0.000971058390037991
city_Jalgaon,0.0008401680017886144
source_attribution_confidence_category_Low confidence,0.0008029290541465573
NH3,0.0008021584667516372
city_Dausa,0.0007706548683073596
weather_trapping_score,0.0006540296995334215
city_Katni,0.0006248126929817085
wind_speed_10m,0.0006047044198382236
reported_aqi_category_Poor,0.0006013743848510189
primary_pollution_source_Insufficient pollutant signal,0.0006008829272318239
city_Faridabad,0.000574916660186382
reported_aqi_category_Satisfactory,0.0005738192201575128
state_Telangana,0.0005280141083837689
city_Kanpur,0.0005277887877103547
road_density_proxy,0.0005227276149890435
reported_aqi_category_Very Poor,0.0005176270792672939
city_Chandrapur,0.0005171644578967769
city_Hyderabad,0.0004925079713249459
reported_aqi_category_Moderate,0.0004548024837547925
city_Surat,0.0004517482128572293
city_Amaravati,0.0004483358068277225
city_Dholpur,0.0004466803723699254
state_Andhra Pradesh,0.00042463448077535016
dayofweek,0.00039859723609027585
city_Indore,0.00039059039996214404
city_Pimpri-Chinchwad,0.00037077996185003664
city_Damoh,0.00034422413394630757
landuse_type_proxy_General urban / semi-urban proxy,0.0003393716801955503
primary_pollution_source_Construction / road dust,0.00033828506550164064
city_Sri Ganganagar,0.0003267340456751839
city_Badlapur,0.00031079054936561547
city_Chennai,0.0003059396895166365
state_West Bengal,0.0003031077142413003
state_Tamil Nadu,0.0003021213049409957
city_Bundi,0.0002931420798816127
day,0.0002795561911996237
reported_dominant_pollutant_PM10,0.0002734093625488038
city_Sikar,0.0002622268715845471
urban_pressure_score,0.00025988937695188796
state_Karnataka,0.00024571454089037634
city_Hapur,0.0002451584295440547
city_Nalbari,0.0002371961721993055
city_Mahad,0.0002325742192944039
city_Durgapur,0.00020976583739631407
state_Maharashtra,0.00019488224832095812
city_Rajsamand,0.00015872869991988422
reported_dominant_pollutant_CO,0.00015565805460276104
city_Chittoor,0.00014434174710036137
reported_dominant_pollutant_PM2.5,0.00014307167738642482
rain,0.00012690464394577775
primary_pollution_source_Photochemical smog,0.00011746532022338577
city_Dewas,0.00011580328340962051
city_Aurangabad,0.00011086981525644806
city_Firozabad,0.00011072049747138927
city_Bhopal,0.00010924314586457827
city_Bengaluru,0.00010231943382263993
city_Sirsa,9.829360259449625e-05
landuse_type_proxy_Traffic / commercial proxy,9.533436551576005e-05
city_Dhanbad,8.558251179080104e-05
reported_aqi_category_Good,8.009921203845329e-05
city_Mumbai,7.952916096725793e-05
city_Thane,7.664246605636116e-05
primary_pollution_source_Biomass / fine-particle combustion,7.402470183564751e-05
city_Thoothukudi,6.990750187559408e-05
city_Ambernath,5.925766065968448e-05
city_Bhiwandi,5.759179509418338e-05
city_Buxar,5.692500846363888e-05
state_Jharkhand,5.327396575109895e-05
landuse_type_proxy_Dense urban proxy,4.9776293632386546e-05
state_Rajasthan,4.9770783357419635e-05
city_Delhi,4.400805506832612e-05
primary_pollution_source_Industrial combustion,4.3788413550881414e-05
reported_aqi_category_Severe,4.251977629041942e-05
landuse_type_proxy_Industrial / mixed urban proxy,4.1690016083741586e-05
source_attribution_confidence_category_Moderate confidence,3.259841707084452e-05
primary_pollution_source_Vehicular traffic,3.0530637766468774e-05
city_Nagpur,2.9274353352712444e-05
city_Khora,2.8652595217038383e-05
city_Katihar,2.829392237577497e-05
state_Uttar Pradesh,2.6963588387197623e-05
city_Chikkamagaluru,2.5480903802303e-05
city_Bhilai,2.386545821311591e-05
state_Odisha,2.1484653350677088e-05
state_Delhi,2.0827710777639425e-05
city_Ghaziabad,1.3094153995308955e-05
state_Gujarat,1.027078651472272e-05
state_Bihar,5.579012376229125e-06
city_Sirohi,5.5320920000218904e-06
state_Chhattisgarh,4.279338590216657e-06
city_Khurja,4.233627853863081e-06
state_Assam,3.9332890274603e-06
city_Asansol,3.5441898616326598e-06
city_Ahmedabad,3.5213126285061544e-06
state_Haryana,3.3114773309048566e-06
city_Virar,3.058925239702452e-06
city_Navi Mumbai,2.9517699116631625e-06
city_Tensa,2.871215435120686e-06
city_Kolhapur,2.81850864868158e-06
city_Varanasi,2.3902776828090994e-06
city_Muzaffarpur,2.0742624229823363e-06
city_Lucknow,2.016047108199028e-06
city_Nashik,1.5769239547481878e-06
city_Boisar,1.5340127034991108e-06
city_Cuttack,1.533720674485235e-06
city_Yadgir,1.4434699679658768e-06
city_Kolkata,1.4227354732289498e-06
city_Gummidipoondi,1.3611658773527922e-06
city_Cuddalore,1.2589049985423311e-06
city_Srinagar,1.1173128796899978e-06
city_Mangalore,1.096973535457152e-06
city_Korba,1.0503695874080253e-06
city_Jaipur,9.444193193904864e-07
city_Agra,8.972715063939831e-07
city_Udaipur,8.585706525623544e-07
city_Narnaul,8.485165704841605e-07
city_Bagalkot,8.183765580761571e-07
city_Pali,6.338699731616079e-07
city_Solapur,6.224089179585117e-07
city_Palwal,5.957440088724174e-07
city_Noida,5.205637053030921e-07
city_Motihari,5.109340147797934e-07
city_Pune,5.06064182183686e-07
city_Howrah,5.024608093723495e-07
city_Byrnihat,4.844388925678405e-07
city_Baripada,4.752074195793075e-07
city_Bareilly,4.497305595920854e-07
city_Ajmer,4.471788129255696e-07
city_Prayagraj,4.4646987748604315e-07
city_Vrindavan,4.442458186541604e-07
city_Gurugram,4.284620120537279e-07
city_Moradabad,4.198996516281714e-07
city_Meerut,4.194321959102293e-07
city_Latur,4.1699665128095513e-07
city_Jodhpur,4.118958063561804e-07
city_Nagaur,4.0056974362796224e-07
city_Angul,3.8956876026728867e-07
city_Khairthal,3.4524903743838275e-07
city_Samastipur,3.38334997618554e-07
city_Gaya,3.192177778305468e-07
city_Hingoli,2.987815646884465e-07
city_Bahadurgarh,2.8722921651499844e-07
city_Churu,2.697062472274415e-07
city_Kota,2.656800456566854e-07
city_Hubballi,2.537010156779475e-07
city_Bulandshahr,2.318814826647418e-07
city_Khanna,2.2606941266646198e-07
city_Milupara,2.260676129310366e-07
city_Vijayawada,2.0167394425242529e-07
city_Panipat,2.0020225046131004e-07
state_Punjab,1.9925797285929174e-07
city_Patna,1.9530099179800692e-07
city_Parbhani,1.9282161469298876e-07
city_Banswara,1.7920559468024947e-07
city_Jhunjhunu,1.769765930621519e-07
city_Ankleshwar,1.6488539370820428e-07
city_Tonk,1.5066785351523487e-07
city_Kurukshetra,1.432931261850525e-07
city_Bhiwani,1.4174558075091008e-07
city_Gadag,1.3854515988209066e-07
city_Malegaon,1.360549266869323e-07
city_Vijayapura,1.2719360479023117e-07
city_Sangli,1.200549787905528e-07
state_Jammu and Kashmir,1.1359625226631771e-07
city_Guwahati,1.11599821155905e-07
city_Rourkela,1.113301548747171e-07
state_Uttarakhand,1.1090044536782164e-07
city_Maihar,1.1049844592387064e-07
city_Dehradun,1.0775731226139301e-07
city_Baran,1.0510765097546189e-07
city_Beed,1.0367459822330861e-07
