state,city,test_rows,mean_absolute_error,max_absolute_error,mean_actual_aqi,mean_predicted_aqi
Andhra Pradesh,Amaravati,2,32.81,34.26,500.0,467.19
Andhra Pradesh,Anantapur,2,5.63,6.97,332.63,338.26
Andhra Pradesh,Chittoor,2,4.74,4.87,323.85,319.11
Andhra Pradesh,Eluru,2,11.41,18.08,315.06,326.47
Andhra Pradesh,Guntur,2,28.96,31.6,297.58,326.54
Andhra Pradesh,Kadapa,2,11.08,11.22,373.64,384.72
Andhra Pradesh,Kurnool,2,29.17,31.02,187.47,216.64
Andhra Pradesh,Machilipatnam,2,20.22,25.05,329.71,349.92
Andhra Pradesh,Nellore,2,3.03,4.67,415.94,417.59
Andhra Pradesh,Rajamahendravaram,2,7.72,12.3,361.92,369.65
Andhra Pradesh,Tirumala,2,34.63,39.43,188.16,183.36
Andhra Pradesh,Tirupati,2,1.17,1.18,323.85,325.02
Andhra Pradesh,Vijayawada,8,8.3,28.25,391.13,384.51
Andhra Pradesh,Visakhapatnam,2,72.44,103.15,249.78,322.22
Assam,Byrnihat,2,8.91,9.94,500.0,491.09
Assam,Guwahati,6,4.12,9.09,276.61,276.43
Assam,Nagaon,2,4.28,5.2,326.77,325.86
Assam,Nalbari,2,49.06,61.55,323.85,274.79
Assam,Silchar,2,4.09,4.15,388.28,384.19
Assam,Sivasagar,2,8.51,13.73,315.06,309.84
Bihar,Araria,2,4.08,5.28,320.92,325.0
Bihar,Arrah,2,10.99,18.46,493.78,486.3
Bihar,Begusarai,2,1.15,1.28,300.0,298.85
Bihar,Bhagalpur,2,10.34,10.51,335.56,345.91
Bihar,Bihar Sharif,2,0.04,0.04,500.0,499.96
Bihar,Buxar,2,16.32,16.35,347.28,330.96
Bihar,Chhapra,2,0.0,0.0,500.0,500.0
Bihar,Gaya,4,19.13,46.97,377.03,367.84
Bihar,Hajipur,2,5.88,9.91,406.6,412.48
Bihar,Katihar,2,1.07,1.07,500.0,498.93
Bihar,Kishanganj,2,0.01,0.02,256.96,256.97
Bihar,Motihari,2,4.15,4.2,228.26,232.41
Bihar,Munger,2,3.23,3.4,412.83,409.6
Bihar,Muzaffarpur,9,6.63,15.12,334.65,335.62
Bihar,Patna,14,4.09,16.33,371.92,371.14
Bihar,Purnia,3,0.0,0.0,500.0,500.0
Bihar,Rajgir,2,2.46,4.14,459.53,461.2
Bihar,Saharsa,2,3.19,6.31,431.51,434.64
Bihar,Samastipur,2,13.0,16.09,131.07,127.98
Chandigarh,Chandigarh,6,8.79,24.27,406.18,399.22
Chhattisgarh,Bhilai,6,9.11,16.99,343.3,343.07
Chhattisgarh,Bilaspur,2,11.01,14.22,376.57,365.56
Chhattisgarh,Chhal,2,27.11,28.43,228.26,255.37
Chhattisgarh,Korba,4,13.18,19.63,242.72,255.9
Chhattisgarh,Kunjemura,2,2.78,5.02,332.63,334.87
Chhattisgarh,Milupara,2,33.36,48.67,174.94,208.3
Chhattisgarh,Raipur,6,2.96,5.99,311.02,309.06
Chhattisgarh,Tumidih,1,17.05,17.05,271.3,288.35
Delhi,Delhi,101,10.51,127.45,423.08,427.28
Gujarat,Ahmedabad,18,7.23,18.01,380.41,382.42
Gujarat,Ankleshwar,2,3.91,4.09,493.77,489.86
Gujarat,Bhavnagar,2,0.0,0.0,500.0,500.0
Gujarat,Gandhinagar,6,63.5,357.99,309.35,369.94
Gujarat,Mehsana,2,0.0,0.0,500.0,500.0
Gujarat,Rajkot,2,0.0,0.0,500.0,500.0
Gujarat,Surat,4,115.81,360.44,331.42,397.13
Gujarat,Vadodara,2,228.52,445.0,277.5,493.98
Gujarat,Vapi,2,1.6,2.62,119.78,118.75
Gujarat,Vatva,2,0.63,1.18,382.43,381.8
Haryana,Ambala,2,0.15,0.15,500.0,499.85
Haryana,Bahadurgarh,2,1.24,1.28,493.77,492.53
Haryana,Ballabgarh,2,6.8,13.57,500.0,493.2
Haryana,Bhiwani,2,4.96,8.03,312.13,309.06
Haryana,Charkhi Dadri,2,5.32,7.97,366.62,361.29
Haryana,Dharuhera,2,6.05,11.23,500.0,493.95
Haryana,Faridabad,8,5.35,15.25,437.6,434.41
Haryana,Fatehabad,3,3.22,5.68,487.55,490.77
Haryana,Gurugram,8,5.56,20.54,419.96,422.89
