feature,importance
aqi,0.4046252625074635
reported_aqi,0.4041205031530159
CO,0.040222956638226
station_expanding_max_aqi,0.0228969086250462
aqi_lag_1,0.0170859490795875
aqi_rolling_mean_3,0.0154169699898433
station_expanding_min_aqi,0.0146186691161575
environmental_risk_score,0.0039724328422054
O3,0.0033822287782355
NO2,0.0029810523848818
PM10,0.0028735606695287
aqi_rolling_mean_6,0.0028420786254297
source_attribution_confidence,0.00259041869342
aqi_rolling_mean_24,0.0024731512634906
hour,0.0024072427687205
aqi_rolling_mean_12,0.0023701667828716
aqi_rolling_std_3,0.0022291648065733
aqi_lag_2,0.0022291409824872
lat,0.0022050712797275
station_expanding_mean_aqi,0.0021257247874454
SO2,0.0020943246662771
PM2.5,0.0020760749036381
city_Jabalpur,0.0019649351112836
aqi_lag_3,0.0019291838467163
city_Tumakuru,0.0016341270304045
